row_id,test_index,model_label,prompt_version,ground_truth,parsed_prediction,valid_flag,parse_error
138932,0,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
138933,1,phi-mini-moe-instruct,zero_shot_v2,1,1,True,
138934,2,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
138935,3,phi-mini-moe-instruct,zero_shot_v2,1,1,True,
138936,4,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
138937,5,phi-mini-moe-instruct,zero_shot_v2,1,1,True,
138938,6,phi-mini-moe-instruct,zero_shot_v2,1,1,True,
138939,7,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
138940,8,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
138941,9,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
138942,10,phi-mini-moe-instruct,zero_shot_v2,1,1,True,
138943,11,phi-mini-moe-instruct,zero_shot_v2,1,1,True,
138944,12,phi-mini-moe-instruct,zero_shot_v2,1,1,True,
138945,13,phi-mini-moe-instruct,zero_shot_v2,1,1,True,
138946,14,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
138947,15,phi-mini-moe-instruct,zero_shot_v2,1,1,True,
138948,16,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
138949,17,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
138950,18,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
138951,19,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
138952,20,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
138953,21,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
138954,22,phi-mini-moe-instruct,zero_shot_v2,1,1,True,
138955,23,phi-mini-moe-instruct,zero_shot_v2,1,1,True,
138956,24,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
138957,25,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
138958,26,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
138959,27,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
138960,28,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
138961,29,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
138962,30,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
138963,31,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
138964,32,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
138965,33,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
138966,34,phi-mini-moe-instruct,zero_shot_v2,1,1,True,
138967,35,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
138968,36,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
138969,37,phi-mini-moe-instruct,zero_shot_v2,1,1,True,
138970,38,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
138971,39,phi-mini-moe-instruct,zero_shot_v2,1,1,True,
138972,40,phi-mini-moe-instruct,zero_shot_v2,1,1,True,
138973,41,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
138974,42,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
138975,43,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
138976,44,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
138977,45,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
138978,46,phi-mini-moe-instruct,zero_shot_v2,1,1,True,
138979,47,phi-mini-moe-instruct,zero_shot_v2,1,1,True,
138980,48,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
138981,49,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
138982,50,phi-mini-moe-instruct,zero_shot_v2,1,1,True,
138983,51,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
138984,52,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
138985,53,phi-mini-moe-instruct,zero_shot_v2,1,1,True,
138986,54,phi-mini-moe-instruct,zero_shot_v2,1,1,True,
138987,55,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
138988,56,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
138989,57,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
138990,58,phi-mini-moe-instruct,zero_shot_v2,1,1,True,
138991,59,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
138992,60,phi-mini-moe-instruct,zero_shot_v2,1,1,True,
138993,61,phi-mini-moe-instruct,zero_shot_v2,1,1,True,
138994,62,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
138995,63,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
138996,64,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
138997,65,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
138998,66,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
138999,67,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
139000,68,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
139001,69,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
139002,70,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
139003,71,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
139004,72,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
139005,73,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
139006,74,phi-mini-moe-instruct,zero_shot_v2,1,1,True,
139007,75,phi-mini-moe-instruct,zero_shot_v2,1,1,True,
139008,76,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
139009,77,phi-mini-moe-instruct,zero_shot_v2,1,1,True,
139010,78,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
139011,79,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
139012,80,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
139013,81,phi-mini-moe-instruct,zero_shot_v2,1,1,True,
139014,82,phi-mini-moe-instruct,zero_shot_v2,1,1,True,
139015,83,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
139016,84,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
139017,85,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
139018,86,phi-mini-moe-instruct,zero_shot_v2,1,1,True,
139019,87,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
139020,88,phi-mini-moe-instruct,zero_shot_v2,1,1,True,
139021,89,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
139022,90,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
139023,91,phi-mini-moe-instruct,zero_shot_v2,1,1,True,
139024,92,phi-mini-moe-instruct,zero_shot_v2,1,1,True,
139025,93,phi-mini-moe-instruct,zero_shot_v2,1,1,True,
139026,94,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
139027,95,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
139028,96,phi-mini-moe-instruct,zero_shot_v2,1,1,True,
139029,97,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
139030,98,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
139031,99,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
139032,100,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
139033,101,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
139034,102,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
139035,103,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
139036,104,phi-mini-moe-instruct,zero_shot_v2,1,1,True,
139037,105,phi-mini-moe-instruct,zero_shot_v2,1,1,True,
139038,106,phi-mini-moe-instruct,zero_shot_v2,1,1,True,
139039,107,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
139040,108,phi-mini-moe-instruct,zero_shot_v2,1,1,True,
139041,109,phi-mini-moe-instruct,zero_shot_v2,1,1,True,
139042,110,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
139043,111,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
139044,112,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
139045,113,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
139046,114,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
139047,115,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
139048,116,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
139049,117,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
139050,118,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
139051,119,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
139052,120,phi-mini-moe-instruct,zero_shot_v2,0,1,True,
139053,121,phi-mini-moe-instruct,zero_shot_v2,1,1,True,
139054,122,phi-mini-moe-instruct,zero_shot_v2,1,1,True,
139055,123,phi-mini-moe-instruct,zero_shot_v2,1,1,True,
139056,124,phi-mini-moe-instruct,zero_shot_v2,1,1,True,
139057,125,phi-mini-moe-instruct,zero_shot_v2,1,1,True,
139058,126,phi-mini-moe-instruct,zero_shot_v2,1,1,True,
139059,127,phi-mini-moe-instruct,zero_shot_v2,1,1,True,
139060,128,phi-mini-moe-instruct,zero_shot_v2,1,1,True,
139061,129,phi-mini-moe-instruct,zero_shot_v2,1,1,True,
