row_id,test_index,model_label,model_name,endpoint_port,prompt_version,ground_truth,raw_response
138932,0,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,zero_shot_v2,0,"{""prediction"": 1}"
138933,1,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,zero_shot_v2,1,"{""prediction"": 1}"
138934,2,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,zero_shot_v2,0,"{""prediction"": 1}"
138935,3,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,zero_shot_v2,1,"{""prediction"": 1}"
138936,4,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,zero_shot_v2,0,"{""prediction"": 1}"
138937,5,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,zero_shot_v2,1,"{""prediction"": 1}"
138938,6,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,zero_shot_v2,1,"{""prediction"": 1}"
138939,7,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,zero_shot_v2,0,"{""prediction"": 1}"
138940,8,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,zero_shot_v2,0,"{""prediction"": 1}"
138941,9,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,zero_shot_v2,0,"{""prediction"": 1}"
138942,10,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,zero_shot_v2,1,"{""prediction"": 1}"
138943,11,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,zero_shot_v2,1,"{""prediction"": 1}"
138944,12,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,zero_shot_v2,1,"{""prediction"": 1}"
138945,13,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,zero_shot_v2,1,"{""prediction"": 1}"
138946,14,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,zero_shot_v2,0,"{""prediction"": 1}"
138947,15,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,zero_shot_v2,1,"{""prediction"": 1}"
138948,16,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,zero_shot_v2,0,"{""prediction"": 1}"
138949,17,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,zero_shot_v2,0,"{""prediction"": 1}"
138950,18,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,zero_shot_v2,0,"{""prediction"": 1}"
138951,19,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,zero_shot_v2,0,"{""prediction"": 1}"
138952,20,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,zero_shot_v2,0,"{""prediction"": 1}"
138953,21,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,zero_shot_v2,0,"{""prediction"": 1}"
138954,22,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,zero_shot_v2,1,"{""prediction"": 1}"
138955,23,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,zero_shot_v2,1,"{""prediction"": 1}"
138956,24,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,zero_shot_v2,0,"{""prediction"": 1}"
138957,25,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,zero_shot_v2,0,"{""prediction"": 1}"
138958,26,phi-3.5-mini-instruct,Phi-3.5-mini-instruct,8000,zero_shot_v2,0,"{""prediction"": 1}"
