sample_id,text,label,confidence,pattern,edge_weight_mean,edge_weight_std,active_edges
1,"Network snapshot 0: Edge weight analysis (mean=-0.120, std=0.000, active=0/1). Network is sparsely connected with weak average coupling. Nodes operate quasi-independently with limited information flow. Strongest edges: TL (Transport Line)–TL (Transport Line) (moderate, w=0.44). These represent primary signal transmission pathways. Associated sensor readings: net_flow=-1.77, injection_pressure=-1.78. Stable weight range suggests consistent network topology across the observation window.",low_risk,0.78,sparse_network,-0.12003379315137863,0.0,0
2,"Network snapshot 1: Edge weight analysis (mean=-0.103, std=0.000, active=0/1). Network is sparsely connected with weak average coupling. Nodes operate quasi-independently with limited information flow. Strongest edges: TL (Transport Line)–TL (Transport Line) (moderate, w=0.45). These represent primary signal transmission pathways. Associated sensor readings: net_flow=-1.77, injection_pressure=-1.78. Stable weight range suggests consistent network topology across the observation window.",low_risk,0.78,sparse_network,-0.10258292406797409,0.0,0
3,"Network snapshot 2: Edge weight analysis (mean=-0.103, std=0.000, active=0/1). Network is sparsely connected with weak average coupling. Nodes operate quasi-independently with limited information flow. Strongest edges: TL (Transport Line)–TL (Transport Line) (moderate, w=0.45). These represent primary signal transmission pathways. Associated sensor readings: net_flow=-1.77, injection_pressure=-1.78. Stable weight range suggests consistent network topology across the observation window.",low_risk,0.78,sparse_network,-0.10257668048143387,0.0,0
4,"Network snapshot 3: Edge weight analysis (mean=-0.109, std=0.000, active=0/1). Network is sparsely connected with weak average coupling. Nodes operate quasi-independently with limited information flow. Strongest edges: TL (Transport Line)–TL (Transport Line) (moderate, w=0.45). These represent primary signal transmission pathways. Associated sensor readings: net_flow=-1.77, injection_pressure=-1.78. Stable weight range suggests consistent network topology across the observation window.",low_risk,0.78,sparse_network,-0.10916386544704437,0.0,0
5,"Network snapshot 4: Edge weight analysis (mean=-0.120, std=0.000, active=0/1). Network is sparsely connected with weak average coupling. Nodes operate quasi-independently with limited information flow. Strongest edges: TL (Transport Line)–TL (Transport Line) (moderate, w=0.44). These represent primary signal transmission pathways. Associated sensor readings: net_flow=-1.77, injection_pressure=-1.78. Stable weight range suggests consistent network topology across the observation window.",low_risk,0.78,sparse_network,-0.12023860961198807,0.0,0
6,"Network snapshot 5: Edge weight analysis (mean=-0.113, std=0.000, active=0/1). Network is sparsely connected with weak average coupling. Nodes operate quasi-independently with limited information flow. Strongest edges: TL (Transport Line)–TL (Transport Line) (moderate, w=0.44). These represent primary signal transmission pathways. Associated sensor readings: net_flow=-1.77, injection_pressure=-1.78. Stable weight range suggests consistent network topology across the observation window.",low_risk,0.78,sparse_network,-0.1127011626958847,0.0,0
7,"Network snapshot 6: Edge weight analysis (mean=-0.115, std=0.000, active=0/1). Network is sparsely connected with weak average coupling. Nodes operate quasi-independently with limited information flow. Strongest edges: TL (Transport Line)–TL (Transport Line) (moderate, w=0.44). These represent primary signal transmission pathways. Associated sensor readings: net_flow=-1.77, injection_pressure=-1.78. Stable weight range suggests consistent network topology across the observation window.",low_risk,0.78,sparse_network,-0.11462906002998352,0.0,0
8,"Network snapshot 7: Edge weight analysis (mean=-0.114, std=0.000, active=0/1). Network is sparsely connected with weak average coupling. Nodes operate quasi-independently with limited information flow. Strongest edges: TL (Transport Line)–TL (Transport Line) (moderate, w=0.44). These represent primary signal transmission pathways. Associated sensor readings: net_flow=-1.77, injection_pressure=-1.78. Stable weight range suggests consistent network topology across the observation window.",low_risk,0.78,sparse_network,-0.1138630211353302,0.0,0
9,"Network snapshot 8: Edge weight analysis (mean=-0.112, std=0.000, active=0/1). Network is sparsely connected with weak average coupling. Nodes operate quasi-independently with limited information flow. Strongest edges: TL (Transport Line)–TL (Transport Line) (moderate, w=0.44). These represent primary signal transmission pathways. Associated sensor readings: net_flow=-1.77, injection_pressure=-1.78. Stable weight range suggests consistent network topology across the observation window.",low_risk,0.78,sparse_network,-0.11236605048179626,0.0,0
10,"Network snapshot 9: Edge weight analysis (mean=-0.113, std=0.000, active=0/1). Network is sparsely connected with weak average coupling. Nodes operate quasi-independently with limited information flow. Strongest edges: TL (Transport Line)–TL (Transport Line) (moderate, w=0.44). These represent primary signal transmission pathways. Associated sensor readings: net_flow=-1.77, injection_pressure=-1.78. Stable weight range suggests consistent network topology across the observation window.",low_risk,0.78,sparse_network,-0.11250834912061691,0.0,0
