row_index,model_label,model_name,endpoint_port,prompt_version,ground_truth,ml_lgb_prediction,ml_lgb_probability,llm_prediction,llm_confidence,parse_ok,parse_error,raw_response
0,gemma-3-12b-it,gemma-3-12b-it,8002,v2,0,0,0.020860352730132,0,0.85,True,,"```json
{""prediction"": 0, ""confidence"": 0.85}
```"
1,gemma-3-12b-it,gemma-3-12b-it,8002,v2,0,0,0.2535256673393206,1,0.95,True,,"```json
{""prediction"": 1, ""confidence"": 0.95}
```"
2,gemma-3-12b-it,gemma-3-12b-it,8002,v2,0,0,0.102602350937172,1,0.85,True,,"```json
{""prediction"": 1, ""confidence"": 0.85}
```"
3,gemma-3-12b-it,gemma-3-12b-it,8002,v2,0,0,0.0159805845857227,1,0.95,True,,"```json
{""prediction"": 1, ""confidence"": 0.95}
```"
4,gemma-3-12b-it,gemma-3-12b-it,8002,v2,0,0,0.0159805845857227,0,0.85,True,,"```json
{""prediction"": 0, ""confidence"": 0.85}
```"
5,gemma-3-12b-it,gemma-3-12b-it,8002,v2,0,0,0.0159805845857227,0,0.95,True,,"```json
{""prediction"": 0, ""confidence"": 0.95}
```"
6,gemma-3-12b-it,gemma-3-12b-it,8002,v2,0,0,0.0207654275156114,0,0.95,True,,"```json
{""prediction"": 0, ""confidence"": 0.95}
```"
7,gemma-3-12b-it,gemma-3-12b-it,8002,v2,0,0,0.0159805845857227,0,0.95,True,,"```json
{""prediction"": 0, ""confidence"": 0.95}
```"
8,gemma-3-12b-it,gemma-3-12b-it,8002,v2,0,0,0.0799409580985262,1,0.95,True,,"```json
{""prediction"": 1, ""confidence"": 0.95}
```"
9,gemma-3-12b-it,gemma-3-12b-it,8002,v2,0,0,0.0159805845857227,0,0.95,True,,"```json
{""prediction"": 0, ""confidence"": 0.95}
```"
10,gemma-3-12b-it,gemma-3-12b-it,8002,v2,0,1,0.6618055584406066,0,0.85,True,,"```json
{""prediction"": 0, ""confidence"": 0.85}
```"
11,gemma-3-12b-it,gemma-3-12b-it,8002,v2,0,0,0.0159805845857227,0,0.85,True,,"```json
{""prediction"": 0, ""confidence"": 0.85}
```"
12,gemma-3-12b-it,gemma-3-12b-it,8002,v2,0,0,0.0159805845857227,0,0.95,True,,"```json
{""prediction"": 0, ""confidence"": 0.95}
```"
13,gemma-3-12b-it,gemma-3-12b-it,8002,v2,0,0,0.0179755870369861,0,0.95,True,,"```json
{""prediction"": 0, ""confidence"": 0.95}
```"
