row_id,test_index,model_label,model_name,endpoint_port,prompt_version,ground_truth,raw_response
138932,0,phi-mini-moe-instruct,Phi-mini-MoE-instruct,8001,zero_shot_v2,0,"```json

{""prediction"": 1}

```"
138933,1,phi-mini-moe-instruct,Phi-mini-MoE-instruct,8001,zero_shot_v2,1,"```json
{""prediction"": 1}
```"
138934,2,phi-mini-moe-instruct,Phi-mini-MoE-instruct,8001,zero_shot_v2,0,"{""prediction"": 1}"
138935,3,phi-mini-moe-instruct,Phi-mini-MoE-instruct,8001,zero_shot_v2,1,"{""prediction"": 1}"
138936,4,phi-mini-moe-instruct,Phi-mini-MoE-instruct,8001,zero_shot_v2,0,"```json

{""prediction"": 1}

```"
138937,5,phi-mini-moe-instruct,Phi-mini-MoE-instruct,8001,zero_shot_v2,1,"```json

{""prediction"": 1}

```"
138938,6,phi-mini-moe-instruct,Phi-mini-MoE-instruct,8001,zero_shot_v2,1,"{""prediction"": 1}"
138939,7,phi-mini-moe-instruct,Phi-mini-MoE-instruct,8001,zero_shot_v2,0,"{""prediction"": 1}"
138940,8,phi-mini-moe-instruct,Phi-mini-MoE-instruct,8001,zero_shot_v2,0,"{""prediction"": 1}"
138941,9,phi-mini-moe-instruct,Phi-mini-MoE-instruct,8001,zero_shot_v2,0,"{""prediction"": 1}"
138942,10,phi-mini-moe-instruct,Phi-mini-MoE-instruct,8001,zero_shot_v2,1,"```json

{""prediction"": 1}

```"
138943,11,phi-mini-moe-instruct,Phi-mini-MoE-instruct,8001,zero_shot_v2,1,"{""prediction"": 1}"
138944,12,phi-mini-moe-instruct,Phi-mini-MoE-instruct,8001,zero_shot_v2,1,"```json

{""prediction"": 1}

```"
138945,13,phi-mini-moe-instruct,Phi-mini-MoE-instruct,8001,zero_shot_v2,1,"```json

{""prediction"": 1}

```"
138946,14,phi-mini-moe-instruct,Phi-mini-MoE-instruct,8001,zero_shot_v2,0,"{""prediction"": 1}"
138947,15,phi-mini-moe-instruct,Phi-mini-MoE-instruct,8001,zero_shot_v2,1,"{""prediction"": 1}"
