row_id,test_index,model_label,prompt_version,ground_truth,parsed_prediction,valid_flag,parse_error
138932,0,phi-3.5-mini-instruct,zero_shot_v2,0,1,True,
138933,1,phi-3.5-mini-instruct,zero_shot_v2,1,1,True,
138934,2,phi-3.5-mini-instruct,zero_shot_v2,0,1,True,
138935,3,phi-3.5-mini-instruct,zero_shot_v2,1,1,True,
138936,4,phi-3.5-mini-instruct,zero_shot_v2,0,1,True,
138937,5,phi-3.5-mini-instruct,zero_shot_v2,1,1,True,
138938,6,phi-3.5-mini-instruct,zero_shot_v2,1,1,True,
138939,7,phi-3.5-mini-instruct,zero_shot_v2,0,1,True,
138940,8,phi-3.5-mini-instruct,zero_shot_v2,0,1,True,
138941,9,phi-3.5-mini-instruct,zero_shot_v2,0,1,True,
138942,10,phi-3.5-mini-instruct,zero_shot_v2,1,1,True,
138943,11,phi-3.5-mini-instruct,zero_shot_v2,1,1,True,
138944,12,phi-3.5-mini-instruct,zero_shot_v2,1,1,True,
138945,13,phi-3.5-mini-instruct,zero_shot_v2,1,1,True,
138946,14,phi-3.5-mini-instruct,zero_shot_v2,0,1,True,
138947,15,phi-3.5-mini-instruct,zero_shot_v2,1,1,True,
138948,16,phi-3.5-mini-instruct,zero_shot_v2,0,1,True,
138949,17,phi-3.5-mini-instruct,zero_shot_v2,0,1,True,
138950,18,phi-3.5-mini-instruct,zero_shot_v2,0,1,True,
138951,19,phi-3.5-mini-instruct,zero_shot_v2,0,1,True,
138952,20,phi-3.5-mini-instruct,zero_shot_v2,0,1,True,
138953,21,phi-3.5-mini-instruct,zero_shot_v2,0,1,True,
138954,22,phi-3.5-mini-instruct,zero_shot_v2,1,1,True,
138955,23,phi-3.5-mini-instruct,zero_shot_v2,1,1,True,
138956,24,phi-3.5-mini-instruct,zero_shot_v2,0,1,True,
138957,25,phi-3.5-mini-instruct,zero_shot_v2,0,1,True,
138958,26,phi-3.5-mini-instruct,zero_shot_v2,0,1,True,
138959,27,phi-3.5-mini-instruct,zero_shot_v2,0,1,True,
138960,28,phi-3.5-mini-instruct,zero_shot_v2,0,1,True,
138961,29,phi-3.5-mini-instruct,zero_shot_v2,0,1,True,
138962,30,phi-3.5-mini-instruct,zero_shot_v2,0,1,True,
138963,31,phi-3.5-mini-instruct,zero_shot_v2,0,1,True,
138964,32,phi-3.5-mini-instruct,zero_shot_v2,0,1,True,
138965,33,phi-3.5-mini-instruct,zero_shot_v2,0,1,True,
138966,34,phi-3.5-mini-instruct,zero_shot_v2,1,1,True,
138967,35,phi-3.5-mini-instruct,zero_shot_v2,0,1,True,
138968,36,phi-3.5-mini-instruct,zero_shot_v2,0,1,True,
138969,37,phi-3.5-mini-instruct,zero_shot_v2,1,1,True,
138970,38,phi-3.5-mini-instruct,zero_shot_v2,0,1,True,
138971,39,phi-3.5-mini-instruct,zero_shot_v2,1,1,True,
138972,40,phi-3.5-mini-instruct,zero_shot_v2,1,1,True,
138973,41,phi-3.5-mini-instruct,zero_shot_v2,0,1,True,
138974,42,phi-3.5-mini-instruct,zero_shot_v2,0,1,True,
138975,43,phi-3.5-mini-instruct,zero_shot_v2,0,1,True,
138976,44,phi-3.5-mini-instruct,zero_shot_v2,0,1,True,
138977,45,phi-3.5-mini-instruct,zero_shot_v2,0,1,True,
138978,46,phi-3.5-mini-instruct,zero_shot_v2,1,1,True,
138979,47,phi-3.5-mini-instruct,zero_shot_v2,1,1,True,
138980,48,phi-3.5-mini-instruct,zero_shot_v2,0,1,True,
138981,49,phi-3.5-mini-instruct,zero_shot_v2,0,1,True,
138982,50,phi-3.5-mini-instruct,zero_shot_v2,1,1,True,
138983,51,phi-3.5-mini-instruct,zero_shot_v2,0,1,True,
138984,52,phi-3.5-mini-instruct,zero_shot_v2,0,1,True,
138985,53,phi-3.5-mini-instruct,zero_shot_v2,1,1,True,
138986,54,phi-3.5-mini-instruct,zero_shot_v2,1,1,True,
138987,55,phi-3.5-mini-instruct,zero_shot_v2,0,1,True,
138988,56,phi-3.5-mini-instruct,zero_shot_v2,0,1,True,
138989,57,phi-3.5-mini-instruct,zero_shot_v2,0,1,True,
138990,58,phi-3.5-mini-instruct,zero_shot_v2,1,1,True,
138991,59,phi-3.5-mini-instruct,zero_shot_v2,0,1,True,
138992,60,phi-3.5-mini-instruct,zero_shot_v2,1,1,True,
138993,61,phi-3.5-mini-instruct,zero_shot_v2,1,1,True,
138994,62,phi-3.5-mini-instruct,zero_shot_v2,0,0,True,
138995,63,phi-3.5-mini-instruct,zero_shot_v2,0,1,True,
138996,64,phi-3.5-mini-instruct,zero_shot_v2,0,1,True,
138997,65,phi-3.5-mini-instruct,zero_shot_v2,0,1,True,
138998,66,phi-3.5-mini-instruct,zero_shot_v2,0,1,True,
138999,67,phi-3.5-mini-instruct,zero_shot_v2,0,1,True,
